house;apartment
42;1
42;2
42;3
42;4
42;5
42;6
42;7
42;8
42;9
42;10
42;11
42;12
42;13
42;14
42;15
42;16
42;17
42;18
42;19
42;20
42;21
42;22
42;23
42;24
42;25
42;26
42;27
42;28
42;29
42;30
42;31
42;32
42;33
42;34
42;35
42;36
42;37
42;38
42;39
42;40
42;41
42;42
42;43
42;44
42;45
42;46
42;47
42;48
42;49
42;50
42;51
42;52
42;53
42;54
42;55
42;56
42;57
42;58
42;59
42;60
43;1
43;2
43;3
43;4
43;5
43;6
43;7
43;8
43;9
43;10
43;11
43;12
43;13
43;14
43;15
43;16
43;17
43;18
43;19
43;20
43;21
43;22
43;23
43;24
43;25
43;26
43;27
43;28
43;29
43;30
43;31
43;32
43;33
43;34
43;35
43;36
43;37
43;38
43;39
43;40
43;41
43;42
43;43
43;44
43;45
43;46
43;47
43;48
43;49
43;50
43;51
43;52
43;53
43;54
43;55
43;56
43;57
43;58
43;59
43;60
43;61
43;62
43;63
43;64
43;65
43;66
43;67
43;68
43;69
43;70
43;71
43;72
43;73
43;74
43;75
43;76
43;77
43;78
43;79
43;80
43;81
43;82
43;83
43;84
43;85
43;86
43;87
43;88
43;89
43;90
44;1
44;2
44;3
44;4
44;5
44;6
44;7
44;8
44;9
44;10
44;11
44;12
44;13
44;14
44;15
44;16
44;17
44;18
44;19
44;20
44;21
44;22
44;23
44;24
44;25
44;26
44;27
44;28
44;29
44;30
44;31
44;32
44;33
44;34
44;35
44;36
44;37
44;38
44;39
44;40
44;41
44;42
44;43
44;44
44;45
44;46
44;47
44;48
44;49
44;50
44;51
44;52
44;53
44;54
44;55
44;56
44;57
44;58
44;59
44;60
45;1
45;2
45;3
45;4
45;5
45;6
45;7
45;8
45;9
45;10
45;11
45;12
45;13
45;14
45;15
45;16
45;17
45;18
45;19
45;20
45;21
45;22
45;23
45;24
45;25
45;26
45;27
45;28
45;29
45;30
45;31
45;32
45;33
45;34
45;35
45;36
45;37
45;38
45;39
45;40
45;41
45;42
45;43
45;44
45;45
45;46
45;47
45;48
45;49
45;50
45;51
45;52
45;53
45;54
45;55
45;56
45;57
45;58
45;59
45;60
45;61
45;62
45;63
45;64
45;65
45;66
45;67
45;68
45;69
45;70
45;71
45;72
45;73
45;74
45;75
45;76
45;77
45;78
45;79
45;80
45;81
45;82
45;83
45;84
45;85
45;86
45;87
45;88
45;89
45;90
46;1
46;2
46;3
46;4
46;5
46;6
46;7
46;8
46;9
46;10
46;11
46;12
46;13
46;14
46;15
46;16
46;17
46;18
46;19
46;20
46;21
46;22
46;23
46;24
46;25
46;26
46;27
46;28
46;29
46;30
46;31
46;32
46;33
46;34
46;35
46;36
46;37
46;38
46;39
46;40
46;41
46;42
46;43
46;44
46;45
46;46
46;47
46;48
46;49
46;50
46;51
46;52
46;53
46;54
46;55
46;56
46;57
46;58
46;59
46;60
46;61
46;62
46;63
46;64
46;65
46;66
46;67
46;68
46;69
46;70
46;71
46;72
46;73
46;74
46;75
46;76
46;77
46;78
46;79
46;80
46;81
46;82
46;83
46;84
46;85
46;86
46;87
46;88
46;89
46;90
47;1
47;2
47;3
47;4
47;5
47;6
47;7
47;8
47;9
47;10
47;11
47;12
47;13
47;14
47;15
47;16
47;17
47;18
47;19
47;20
47;21
47;22
47;23
47;24
47;25
47;26
47;27
47;28
47;29
47;30
47;31
47;32
47;33
47;34
47;35
47;36
47;37
47;38
47;39
47;40
47;41
47;42
47;43
47;44
47;45
47;46
47;47
47;48
47;49
47;50
47;51
47;52
47;53
47;54
47;55
47;56
47;57
47;58
47;59
47;60
48;1
48;2
48;3
48;4
48;5
48;6
48;7
48;8
48;9
48;10
48;11
48;12
48;13
48;14
48;15
48;16
48;17
48;18
48;19
48;20
48;21
48;22
48;23
48;24
48;25
48;26
48;27
48;28
48;29
48;30
48;31
48;32
48;33
48;34
48;35
48;36
48;37
48;38
48;39
48;40
48;41
48;42
48;43
48;44
48;45
48;46
48;47
48;48
48;49
48;50
48;51
48;52
48;53
48;54
48;55
48;56
48;57
48;58
48;59
48;60
49;1
49;2
49;3
49;4
49;5
49;6
49;7
49;8
49;9
49;10
49;11
49;12
49;13
49;14
49;15
49;16
49;17
49;18
49;19
49;20
49;21
49;22
49;23
49;24
49;25
49;26
49;27
49;28
49;29
49;30
49;31
49;32
49;33
49;34
49;35
49;36
49;37
49;38
49;39
49;40
49;41
49;42
49;43
49;44
49;45
49;46
49;47
49;48
49;49
49;50
49;51
49;52
49;53
49;54
49;55
49;56
49;57
49;58
49;59
49;60
